GAME_ID,GAME_DATE,GAME_DATETIME,GAME_TIME_DISPLAY,SEASON,STATUS,DETAILED_STATE,ABSTRACT_STATE,DOUBLEHEADER,DAY_NIGHT,SERIES_GAME_NUMBER,SERIES_DESCRIPTION,VENUE,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_TEAM_ABBREVIATION,AWAY_SCORE,AWAY_IS_WINNER,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_TEAM_ABBREVIATION,HOME_SCORE,HOME_IS_WINNER,IS_HOME_WIN
832033,2026-02-20,2026-02-20T18:05:00+00:00,2026-02-20 06:05 PM UTC,2026,Final,Final,Final,N,day,,Exhibition Game,JetBlue Park,343,Northeastern Huskies,NEU,3.0,False,111,Boston Red Sox,BOS,18.0,True,True
832034,2026-02-20,2026-02-20T18:05:00+00:00,2026-02-20 06:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Ed Smith Stadium,147,New York Yankees,NYY,0.0,False,110,Baltimore Orioles,BAL,2.0,True,True
831829,2026-02-20,2026-02-20T20:05:00+00:00,2026-02-20 08:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Surprise Stadium,118,Kansas City Royals,KC,7.0,True,140,Texas Rangers,TEX,3.0,False,False
832042,2026-02-20,2026-02-20T20:05:00+00:00,2026-02-20 08:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Sloan Park,145,Chicago White Sox,CWS,8.0,True,112,Chicago Cubs,CHC,1.0,False,False
831764,2026-02-20,2026-02-20T20:10:00+00:00,2026-02-20 08:10 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Peoria Stadium,135,San Diego Padres,SD,4.0,False,136,Seattle Mariners,SEA,7.0,True,True
831959,2026-02-20,2026-02-20T20:10:00+00:00,2026-02-20 08:10 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Salt River Fields at Talking Stick,109,Arizona Diamondbacks,AZ,3.0,True,115,Colorado Rockies,COL,2.0,False,False
832043,2026-02-20,2026-02-20T23:05:00+00:00,2026-02-20 11:05 PM UTC,2026,Final,Completed Early,Final,N,night,,Exhibition Game,Lee Health Sports Complex,4864,Minnesota Golden Gophers,UM,3.0,False,142,Minnesota Twins,MIN,10.0,True,True
831494,2026-02-21,2026-02-21T18:05:00+00:00,2026-02-21 06:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Roger Dean Chevrolet Stadium,120,Washington Nationals,WSH,6.0,True,138,St. Louis Cardinals,STL,2.0,False,False
831543,2026-02-21,2026-02-21T18:05:00+00:00,2026-02-21 06:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Charlotte Sports Park,144,Atlanta Braves,ATL,5.0,True,139,Tampa Bay Rays,TB,1.0,False,False
831544,2026-02-21,2026-02-21T18:05:00+00:00,2026-02-21 06:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Ed Smith Stadium,134,Pittsburgh Pirates,PIT,8.0,True,110,Baltimore Orioles,BAL,2.0,False,False
831598,2026-02-21,2026-02-21T18:05:00+00:00,2026-02-21 06:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,CACTI Park of the Palm Beaches,117,Houston Astros,HOU,1.0,False,120,Washington Nationals,WSH,2.0,True,True
831654,2026-02-21,2026-02-21T18:05:00+00:00,2026-02-21 06:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Lee Health Sports Complex,111,Boston Red Sox,BOS,7.0,True,142,Minnesota Twins,MIN,2.0,False,False
831655,2026-02-21,2026-02-21T18:05:00+00:00,2026-02-21 06:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,George M. Steinbrenner Field,116,Detroit Tigers,DET,3.0,False,147,New York Yankees,NYY,20.0,True,True
831542,2026-02-21,2026-02-21T18:07:00+00:00,2026-02-21 06:07 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,TD Ballpark,143,Philadelphia Phillies,PHI,0.0,False,141,Toronto Blue Jays,TOR,3.0,True,True
831497,2026-02-21,2026-02-21T18:10:00+00:00,2026-02-21 06:10 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Clover Park,146,Miami Marlins,MIA,2.0,True,121,New York Mets,NYM,1.0,False,False
831732,2026-02-21,2026-02-21T20:05:00+00:00,2026-02-21 08:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Sloan Park,140,Texas Rangers,TEX,3.0,True,112,Chicago Cubs,CHC,2.0,False,False
831775,2026-02-21,2026-02-21T20:05:00+00:00,2026-02-21 08:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Surprise Stadium,135,San Diego Padres,SD,10.0,True,118,Kansas City Royals,KC,3.0,False,False
831900,2026-02-21,2026-02-21T20:05:00+00:00,2026-02-21 08:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Goodyear Ballpark,113,Cincinnati Reds,CIN,2.0,False,114,Cleveland Guardians,CLE,4.0,True,True
831948,2026-02-21,2026-02-21T20:05:00+00:00,2026-02-21 08:05 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Camelback Ranch,133,Athletics,ATH,2.0,False,145,Chicago White Sox,CWS,11.0,True,True
831750,2026-02-21,2026-02-21T20:10:00+00:00,2026-02-21 08:10 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,Peoria Stadium,137,San Francisco Giants,SF,10.0,True,136,Seattle Mariners,SEA,5.0,False,False
831872,2026-02-21,2026-02-21T20:10:00+00:00,2026-02-21 08:10 PM UTC,2026,Final,Final,Final,N,day,2.0,Spring Training,Salt River Fields at Talking Stick,115,Colorado Rockies,COL,11.0,True,109,Arizona Diamondbacks,AZ,6.0,False,False
831878,2026-02-21,2026-02-21T20:10:00+00:00,2026-02-21 08:10 PM UTC,2026,Final,Final,Final,N,day,1.0,Spring Training,American Family Fields of Phoenix,114,Cleveland Guardians,CLE,9.0,True,158,Milwaukee Brewers,MIL,6.0,False,False
