TEAM_ID,PLAYER_ID,PLAYER_NAME,JERSEY_NUMBER,POSITION,POSITION_TYPE,STATUS,TEAM_NAME
108,624428,Adam Frazier,42,2B,Infielder,Active,Los Angeles Angels
108,608718,Brent Suter,42,P,Pitcher,Active,Los Angeles Angels
108,669326,Bryce Teodosio,42,CF,Outfielder,Active,Los Angeles Angels
108,681217,Chase Silseth,42,P,Pitcher,Active,Los Angeles Angels
108,519141,Drew Pomeranz,42,P,Pitcher,Active,Los Angeles Angels
108,686799,Jack Kochanowicz,42,P,Pitcher,Active,Los Angeles Angels
108,666176,Jo Adell,42,CF,Outfielder,Active,Los Angeles Angels
108,605447,Jordan Romano,42,P,Pitcher,Active,Los Angeles Angels
108,666139,Josh Lowe,42,RF,Outfielder,Active,Los Angeles Angels
108,667755,José Soriano,42,P,Pitcher,Active,Los Angeles Angels
108,681351,Logan O'Hoppe,42,C,Catcher,Active,Los Angeles Angels
108,545361,Mike Trout,42,RF,Outfielder,Active,Los Angeles Angels
108,680704,Nick Sandlin,42,P,Pitcher,Active,Los Angeles Angels
108,694384,Nolan Schanuel,42,1B,Infielder,Active,Los Angeles Angels
108,672724,Oswald Peraza,42,3B,Infielder,Active,Los Angeles Angels
108,672282,Reid Detmers,42,P,Pitcher,Active,Los Angeles Angels
108,666171,Ryan Zeferjahn,42,P,Pitcher,Active,Los Angeles Angels
108,691951,Sam Aldegheri,42,P,Pitcher,Active,Los Angeles Angels
108,696147,Sam Bachman,42,P,Pitcher,Active,Los Angeles Angels
108,641312,Shaun Anderson,42,P,Pitcher,Active,Los Angeles Angels
108,518595,Travis d'Arnaud,42,C,Catcher,Active,Los Angeles Angels
108,687093,Vaughn Grissom,42,2B,Infielder,Active,Los Angeles Angels
108,660162,Yoán Moncada,42,3B,Infielder,Active,Los Angeles Angels
108,579328,Yusei Kikuchi,42,P,Pitcher,Active,Los Angeles Angels
108,687263,Zach Neto,42,SS,Infielder,Active,Los Angeles Angels
109,680728,Adrian Del Castillo,42,C,Catcher,Active,Arizona Diamondbacks
109,677950,Alek Thomas,42,CF,Outfielder,Active,Arizona Diamondbacks
109,694851,Andrew Hoffmann,42,P,Pitcher,Active,Arizona Diamondbacks
109,605244,Aramis Garcia,42,C,Catcher,Active,Arizona Diamondbacks
109,694297,Brandon Pfaadt,42,P,Pitcher,Active,Arizona Diamondbacks
109,682998,Corbin Carroll,42,RF,Outfielder,Active,Arizona Diamondbacks
109,593958,Eduardo Rodriguez,42,P,Pitcher,Active,Arizona Diamondbacks
109,672695,Geraldo Perdomo,42,SS,Infielder,Active,Arizona Diamondbacks
109,545121,Ildemaro Vargas,42,2B,Infielder,Active,Arizona Diamondbacks
109,543510,James McCann,42,C,Catcher,Active,Arizona Diamondbacks
109,642528,Jonathan Loáisiga,42,P,Pitcher,Active,Arizona Diamondbacks
109,678489,Jorge Barrosa,42,LF,Outfielder,Active,Arizona Diamondbacks
109,699912,Jose Fernandez,42,SS,Infielder,Active,Arizona Diamondbacks
109,666661,Juan Morillo,42,P,Pitcher,Active,Arizona Diamondbacks
109,606466,Ketel Marte,42,2B,Infielder,Active,Arizona Diamondbacks
109,656464,Kevin Ginkel,42,P,Pitcher,Active,Arizona Diamondbacks
109,663609,Luken Baker,42,1B,Infielder,Active,Arizona Diamondbacks
109,518876,Merrill Kelly,42,P,Pitcher,Active,Arizona Diamondbacks
109,647336,Michael Soroka,42,P,Pitcher,Active,Arizona Diamondbacks
109,571448,Nolan Arenado,42,3B,Infielder,Active,Arizona Diamondbacks
109,623149,Paul Sewald,42,P,Pitcher,Active,Arizona Diamondbacks
109,657044,Ryan Thompson,42,P,Pitcher,Active,Arizona Diamondbacks
109,669194,Ryne Nelson,42,P,Pitcher,Active,Arizona Diamondbacks
109,664199,Taylor Clarke,42,P,Pitcher,Active,Arizona Diamondbacks
109,694374,Tim Tawa,42,2B,Infielder,Active,Arizona Diamondbacks
109,668678,Zac Gallen,42,P,Pitcher,Active,Arizona Diamondbacks
110,544150,Albert Suárez,42,P,Pitcher,Active,Baltimore Orioles
110,689296,Anthony Nunez,42,P,Pitcher,Active,Baltimore Orioles
110,677942,Blaze Alexander,42,SS,Infielder,Active,Baltimore Orioles
110,605135,Chris Bassitt,42,P,Pitcher,Active,Baltimore Orioles
110,691723,Coby Mayo,42,1B,Infielder,Active,Baltimore Orioles
110,681297,Colton Cowser,42,LF,Outfielder,Active,Baltimore Orioles
110,665152,Dean Kremer,42,P,Pitcher,Active,Baltimore Orioles
110,687637,Dylan Beavers,42,RF,Outfielder,Active,Baltimore Orioles
110,664991,Grant Wolfram,42,P,Pitcher,Active,Baltimore Orioles
110,683002,Gunnar Henderson,42,SS,Infielder,Active,Baltimore Orioles
110,669236,Jeremiah Jackson,42,2B,Infielder,Active,Baltimore Orioles
110,671286,Johnathan Rodríguez,42,RF,Outfielder,Active,Baltimore Orioles
110,680694,Kyle Bradish,42,P,Pitcher,Active,Baltimore Orioles
110,665750,Leody Taveras,42,OF,Outfielder,Active,Baltimore Orioles
110,668974,Maverick Handley,42,C,Catcher,Active,Baltimore Orioles
110,624413,Pete Alonso,42,1B,Infielder,Active,Baltimore Orioles
110,670329,Rico Garcia,42,P,Pitcher,Active,Baltimore Orioles
110,664854,Ryan Helsley,42,P,Pitcher,Active,Baltimore Orioles
110,669087,Sam Huff,42,C,Catcher,Active,Baltimore Orioles
110,694212,Samuel Basallo,42,C,Catcher,Active,Baltimore Orioles
110,669358,Shane Baz,42,P,Pitcher,Active,Baltimore Orioles
110,621493,Taylor Ward,42,LF,Outfielder,Active,Baltimore Orioles
110,669432,Trevor Rogers,42,P,Pitcher,Active,Baltimore Orioles
110,669330,Tyler Wells,42,P,Pitcher,Active,Baltimore Orioles
110,642215,Weston Wilson,42,LF,Outfielder,Active,Baltimore Orioles
110,666974,Yennier Cano,42,P,Pitcher,Active,Baltimore Orioles
111,655316,Andruw Monasterio,42,SS,Infielder,Active,Boston Red Sox
111,547973,Aroldis Chapman,42,P,Pitcher,Active,Boston Red Sox
111,678394,Brayan Bello,42,P,Pitcher,Active,Boston Red Sox
111,702332,Caleb Durbin,42,3B,Infielder,Active,Boston Red Sox
111,665966,Carlos Narváez,42,C,Catcher,Active,Boston Red Sox
111,678882,Ceddanne Rafaela,42,CF,Outfielder,Active,Boston Red Sox
111,813349,Connelly Early,42,P,Pitcher,Active,Boston Red Sox
111,657136,Connor Wong,42,C,Catcher,Active,Boston Red Sox
111,543056,Danny Coulombe,42,P,Pitcher,Active,Boston Red Sox
111,676979,Garrett Crochet,42,P,Pitcher,Active,Boston Red Sox
111,676477,Garrett Whitlock,42,P,Pitcher,Active,Boston Red Sox
111,669711,Greg Weissert,42,P,Pitcher,Active,Boston Red Sox
111,643396,Isiah Kiner-Falefa,42,SS,Infielder,Active,Boston Red Sox
111,681252,Jack Anderson,42,P,Pitcher,Active,Boston Red Sox
111,680776,Jarren Duran,42,LF,Outfielder,Active,Boston Red Sox
111,663558,Jovani Morán,42,P,Pitcher,Active,Boston Red Sox
111,691785,Marcelo Mayer,42,3B,Infielder,Active,Boston Red Sox
111,807799,Masataka Yoshida,42,LF,Outfielder,Active,Boston Red Sox
111,624133,Ranger Suarez,42,P,Pitcher,Active,Boston Red Sox
111,701350,Roman Anthony,42,RF,Outfielder,Active,Boston Red Sox
111,670245,Ryan Watson,42,P,Pitcher,Active,Boston Red Sox
111,543243,Sonny Gray,42,P,Pitcher,Active,Boston Red Sox
111,596115,Trevor Story,42,SS,Infielder,Active,Boston Red Sox
111,575929,Willson Contreras,42,1B,Infielder,Active,Boston Red Sox
111,677800,Wilyer Abreu,42,RF,Outfielder,Active,Boston Red Sox
111,677161,Zack Kelly,42,P,Pitcher,Active,Boston Red Sox
112,608324,Alex Bregman,42,3B,Infielder,Active,Chicago Cubs
112,676962,Ben Brown,42,P,Pitcher,Active,Chicago Cubs
112,573204,Caleb Thielbar,42,P,Pitcher,Active,Chicago Cubs
112,608348,Carson Kelly,42,C,Catcher,Active,Chicago Cubs
112,607067,Colin Rea,42,P,Pitcher,Active,Chicago Cubs
112,694037,Daniel Palencia,42,P,Pitcher,Active,Chicago Cubs
112,621020,Dansby Swanson,42,SS,Infielder,Active,Chicago Cubs
112,665795,Edward Cabrera,42,P,Pitcher,Active,Chicago Cubs
112,571948,Hoby Milner,42,P,Pitcher,Active,Chicago Cubs
112,664023,Ian Happ,42,LF,Outfielder,Active,Chicago Cubs
112,657097,Jacob Webb,42,P,Pitcher,Active,Chicago Cubs
112,592791,Jameson Taillon,42,P,Pitcher,Active,Chicago Cubs
112,665871,Javier Assad,42,P,Pitcher,Active,Chicago Cubs
112,681432,Luke Little,42,P,Pitcher,Active,Chicago Cubs
112,807713,Matt Shaw,42,3B,Infielder,Active,Chicago Cubs
112,683737,Michael Busch,42,1B,Infielder,Active,Chicago Cubs
112,624424,Michael Conforto,42,LF,Outfielder,Active,Chicago Cubs
112,665804,Miguel Amaya,42,C,Catcher,Active,Chicago Cubs
112,694208,Moisés Ballesteros,42,C,Catcher,Active,Chicago Cubs
112,663538,Nico Hoerner,42,2B,Infielder,Active,Chicago Cubs
112,691718,Pete Crow-Armstrong,42,CF,Outfielder,Active,Chicago Cubs
112,702303,Riley Martin,42,P,Pitcher,Active,Chicago Cubs
112,669020,Ryan Rolison,42,P,Pitcher,Active,Chicago Cubs
112,664068,Scott Kingery,42,2B,Infielder,Active,Chicago Cubs
112,673548,Seiya Suzuki,42,RF,Outfielder,Active,Chicago Cubs
112,684007,Shota Imanaga,42,P,Pitcher,Active,Chicago Cubs
113,671096,Andrew Abbott,42,P,Pitcher,Active,Cincinnati Reds
113,663903,Brady Singer,42,P,Pitcher,Active,Cincinnati Reds
113,682227,Brandon Williamson,42,P,Pitcher,Active,Cincinnati Reds
113,656271,Brock Burke,42,P,Pitcher,Active,Cincinnati Reds
113,695505,Chase Burns,42,P,Pitcher,Active,Cincinnati Reds
113,683175,Connor Phillips,42,P,Pitcher,Active,Cincinnati Reds
113,667472,Dane Myers,42,CF,Outfielder,Active,Cincinnati Reds
113,682829,Elly De La Cruz,42,SS,Infielder,Active,Cincinnati Reds
113,641941,Emilio Pagán,42,P,Pitcher,Active,Cincinnati Reds
113,553993,Eugenio Suárez,42,3B,Infielder,Active,Cincinnati Reds
113,668933,Graham Ashcraft,42,P,Pitcher,Active,Cincinnati Reds
113,663647,Ke'Bryan Hayes,42,3B,Infielder,Active,Cincinnati Reds
113,693312,Kyle Nicolas,42,P,Pitcher,Active,Cincinnati Reds
113,680574,Matt McLain,42,2B,Infielder,Active,Cincinnati Reds
113,663993,Nathaniel Lowe,42,1B,Infielder,Active,Cincinnati Reds
113,664731,P.J. Higgins,42,C,Catcher,Active,Cincinnati Reds
113,572955,Pierce Johnson,42,P,Pitcher,Active,Cincinnati Reds
113,677956,Rece Hinds,42,RF,Outfielder,Active,Cincinnati Reds
113,695076,Rhett Lowder,42,P,Pitcher,Active,Cincinnati Reds
113,701398,Sal Stewart,42,3B,Infielder,Active,Cincinnati Reds
113,594580,Sam Moll,42,P,Pitcher,Active,Cincinnati Reds
113,668715,Spencer Steer,42,1B,Infielder,Active,Cincinnati Reds
113,670770,TJ Friedl,42,CF,Outfielder,Active,Cincinnati Reds
113,663574,Tony Santillan,42,P,Pitcher,Active,Cincinnati Reds
113,663886,Tyler Stephenson,42,C,Catcher,Active,Cincinnati Reds
113,666181,Will Benson,42,LF,Outfielder,Active,Cincinnati Reds
114,682657,Angel Martínez,42,CF,Outfielder,Active,Cleveland Guardians
114,595978,Austin Hedges,42,C,Catcher,Active,Cleveland Guardians
114,666310,Bo Naylor,42,C,Catcher,Active,Cleveland Guardians
114,677587,Brayan Rocchio,42,SS,Infielder,Active,Cleveland Guardians
114,671922,Cade Smith,42,P,Pitcher,Active,Cleveland Guardians
114,800050,Chase DeLauter,42,RF,Outfielder,Active,Cleveland Guardians
114,641401,Connor Brogdon,42,P,Pitcher,Active,Cleveland Guardians
114,682177,Daniel Schneemann,42,2B,Infielder,Active,Cleveland Guardians
114,681807,David Fry,42,1B,Infielder,Active,Cleveland Guardians
114,681870,Erik Sabrowski,42,P,Pitcher,Active,Cleveland Guardians
114,668909,Gavin Williams,42,P,Pitcher,Active,Cleveland Guardians
114,671655,George Valera,42,RF,Outfielder,Active,Cleveland Guardians
114,683769,Hunter Gaddis,42,P,Pitcher,Active,Cleveland Guardians
114,676282,Joey Cantillo,42,P,Pitcher,Active,Cleveland Guardians
114,608070,José Ramírez,42,3B,Infielder,Active,Cleveland Guardians
114,682877,Juan Brito,42,SS,Infielder,Active,Cleveland Guardians
114,700932,Kyle Manzardo,42,1B,Infielder,Active,Cleveland Guardians
114,670036,Matt Festa,42,P,Pitcher,Active,Cleveland Guardians
114,800048,Parker Messick,42,P,Pitcher,Active,Cleveland Guardians
114,688883,Peyton Pallette,42,P,Pitcher,Active,Cleveland Guardians
114,656555,Rhys Hoskins,42,1B,Infielder,Active,Cleveland Guardians
114,542888,Shawn Armstrong,42,P,Pitcher,Active,Cleveland Guardians
114,677944,Slade Cecconi,42,P,Pitcher,Active,Cleveland Guardians
114,680757,Steven Kwan,42,LF,Outfielder,Active,Cleveland Guardians
114,676440,Tanner Bibee,42,P,Pitcher,Active,Cleveland Guardians
114,682120,Tim Herrin,42,P,Pitcher,Active,Cleveland Guardians
115,622608,Antonio Senzatela,42,P,Pitcher,Active,Colorado Rockies
115,657514,Brennan Bernardino,42,P,Pitcher,Active,Colorado Rockies
115,686668,Brenton Doyle,42,CF,Outfielder,Active,Colorado Rockies
115,664954,Brett Sullivan,42,C,Catcher,Active,Colorado Rockies
115,801403,Chase Dollander,42,P,Pitcher,Active,Colorado Rockies
115,666397,Edouard Julien,42,2B,Infielder,Active,Colorado Rockies
115,678662,Ezequiel Tovar,42,SS,Infielder,Active,Colorado Rockies
115,696100,Hunter Goodman,42,C,Catcher,Active,Colorado Rockies
115,677955,Jaden Hill,42,P,Pitcher,Active,Colorado Rockies
115,664983,Jake McCarthy,42,CF,Outfielder,Active,Colorado Rockies
115,623474,Jimmy Herget,42,P,Pitcher,Active,Colorado Rockies
115,687597,Jordan Beck,42,LF,Outfielder,Active,Colorado Rockies
115,675848,Juan Mejia,42,P,Pitcher,Active,Colorado Rockies
115,607536,Kyle Freeland,42,P,Pitcher,Active,Colorado Rockies
115,691720,Kyle Karros,42,3B,Infielder,Active,Colorado Rockies
115,547179,Michael Lorenzen,42,P,Pitcher,Active,Colorado Rockies
115,666160,Mickey Moniak,42,RF,Outfielder,Active,Colorado Rockies
115,663372,Ryan Feltner,42,P,Pitcher,Active,Colorado Rockies
115,681198,TJ Rumfield,42,1B,Infielder,Active,Colorado Rockies
115,685299,Tanner Gordon,42,P,Pitcher,Active,Colorado Rockies
115,608372,Tomoyuki Sugano,42,P,Pitcher,Active,Colorado Rockies
115,687859,Troy Johnston,42,OF,Outfielder,Active,Colorado Rockies
115,671289,Tyler Freeman,42,RF,Outfielder,Active,Colorado Rockies
115,680767,Victor Vodnik,42,P,Pitcher,Active,Colorado Rockies
115,650489,Willi Castro,42,LF,Outfielder,Active,Colorado Rockies
115,688642,Zach Agnos,42,P,Pitcher,Active,Colorado Rockies
116,676428,Brant Hurter,42,P,Pitcher,Active,Detroit Tigers
116,663554,Casey Mize,42,P,Pitcher,Active,Detroit Tigers
116,690993,Colt Keith,42,2B,Infielder,Active,Detroit Tigers
116,657756,Connor Seabold,42,P,Pitcher,Active,Detroit Tigers
116,693307,Dillon Dingler,42,C,Catcher,Active,Detroit Tigers
116,623454,Drew Anderson,42,P,Pitcher,Active,Detroit Tigers
116,646241,Enmanuel De Jesus,42,P,Pitcher,Active,Detroit Tigers
116,664285,Framber Valdez,42,P,Pitcher,Active,Detroit Tigers
116,650402,Gleyber Torres,42,2B,Infielder,Active,Detroit Tigers
116,656427,Jack Flaherty,42,P,Pitcher,Active,Detroit Tigers
116,663330,Jahmai Jones,42,RF,Outfielder,Active,Detroit Tigers
116,668670,Jake Rogers,42,C,Catcher,Active,Detroit Tigers
116,595879,Javier Báez,42,CF,Outfielder,Active,Detroit Tigers
116,672456,Keider Montero,42,P,Pitcher,Active,Detroit Tigers
116,445276,Kenley Jansen,42,P,Pitcher,Active,Detroit Tigers
116,681481,Kerry Carpenter,42,RF,Outfielder,Active,Detroit Tigers
116,805808,Kevin McGonigle,42,SS,Infielder,Active,Detroit Tigers
116,640448,Kyle Finnegan,42,P,Pitcher,Active,Detroit Tigers
116,663837,Matt Vierling,42,CF,Outfielder,Active,Detroit Tigers
116,682985,Riley Greene,42,LF,Outfielder,Active,Detroit Tigers
116,679529,Spencer Torkelson,42,1B,Infielder,Active,Detroit Tigers
116,669373,Tarik Skubal,42,P,Pitcher,Active,Detroit Tigers
116,663947,Tyler Holton,42,P,Pitcher,Active,Detroit Tigers
116,672761,Wenceel Pérez,42,RF,Outfielder,Active,Detroit Tigers
116,676684,Will Vest,42,P,Pitcher,Active,Detroit Tigers
116,656716,Zach McKinstry,42,3B,Infielder,Active,Detroit Tigers
117,805123,AJ Blubaugh,42,P,Pitcher,Active,Houston Astros
117,694728,Brice Matthews,42,SS,Infielder,Active,Houston Astros
117,650556,Bryan Abreu,42,P,Pitcher,Active,Houston Astros
117,687911,Bryan King,42,P,Pitcher,Active,Houston Astros
117,701358,Cam Smith,42,RF,Outfielder,Active,Houston Astros
117,621043,Carlos Correa,42,SS,Infielder,Active,Houston Astros
117,685005,Christian Roa,42,P,Pitcher,Active,Houston Astros
117,543877,Christian Vázquez,42,C,Catcher,Active,Houston Astros
117,572233,Christian Walker,42,1B,Infielder,Active,Houston Astros
117,675989,Cody Bolton,42,P,Pitcher,Active,Houston Astros
117,676467,Colton Gordon,42,P,Pitcher,Active,Houston Astros
117,660853,Enyel De Los Santos,42,P,Pitcher,Active,Houston Astros
117,670623,Isaac Paredes,42,3B,Infielder,Active,Houston Astros
117,641585,J.P. France,42,P,Pitcher,Active,Houston Astros
117,694388,Joey Loperfido,42,LF,Outfielder,Active,Houston Astros
117,514888,Jose Altuve,42,LF,Outfielder,Active,Houston Astros
117,678906,Kai-Wei Teng,42,P,Pitcher,Active,Houston Astros
117,621121,Lance McCullers Jr.,42,P,Pitcher,Active,Houston Astros
117,681347,Mike Burrows,42,P,Pitcher,Active,Houston Astros
117,669397,Nick Allen,42,SS,Infielder,Active,Houston Astros
117,680802,Ryan Weiss,42,P,Pitcher,Active,Houston Astros
117,694376,Shay Whitcomb,42,LF,Outfielder,Active,Houston Astros
117,595345,Steven Okert,42,P,Pitcher,Active,Houston Astros
117,666211,Taylor Trammell,42,LF,Outfielder,Active,Houston Astros
117,673237,Yainer Diaz,42,C,Catcher,Active,Houston Astros
117,670541,Yordan Alvarez,42,LF,Outfielder,Active,Houston Astros
118,656638,Alex Lange,42,P,Pitcher,Active,Kansas City Royals
118,677951,Bobby Witt Jr.,42,SS,Infielder,Active,Kansas City Royals
118,695600,Carter Jensen,42,C,Catcher,Active,Kansas City Royals
118,666142,Cole Ragans,42,P,Pitcher,Active,Kansas City Royals
118,663738,Daniel Lynch IV,42,P,Pitcher,Active,Kansas City Royals
118,669212,Eli Morgan,42,P,Pitcher,Active,Kansas City Royals
118,686555,Isaac Collins,42,LF,Outfielder,Active,Kansas City Royals
118,695506,Jac Caglianone,42,RF,Outfielder,Active,Kansas City Royals
118,670167,John Schreiber,42,P,Pitcher,Active,Kansas City Royals
118,663697,Jonathan India,42,2B,Infielder,Active,Kansas City Royals
118,663460,Kris Bubic,42,P,Pitcher,Active,Kansas City Royals
118,664728,Kyle Isbel,42,CF,Outfielder,Active,Kansas City Royals
118,657041,Lane Thomas,42,CF,Outfielder,Active,Kansas City Royals
118,668674,Lucas Erceg,42,P,Pitcher,Active,Kansas City Royals
118,672580,Maikel Garcia,42,3B,Infielder,Active,Kansas City Royals
118,621381,Matt Strahm,42,P,Pitcher,Active,Kansas City Royals
118,686681,Michael Massey,42,2B,Infielder,Active,Kansas City Royals
118,608379,Michael Wacha,42,P,Pitcher,Active,Kansas City Royals
118,687765,Mitch Spence,42,P,Pitcher,Active,Kansas City Royals
118,683232,Nick Mears,42,P,Pitcher,Active,Kansas City Royals
118,702070,Noah Cameron,42,P,Pitcher,Active,Kansas City Royals
118,521692,Salvador Perez,42,C,Catcher,Active,Kansas City Royals
118,607625,Seth Lugo,42,P,Pitcher,Active,Kansas City Royals
118,516782,Starling Marte,42,LF,Outfielder,Active,Kansas City Royals
118,686475,Tyler Tolbert,42,2B,Infielder,Active,Kansas City Royals
118,686469,Vinnie Pasquantino,42,1B,Infielder,Active,Kansas City Royals
119,669743,Alex Call,42,RF,Outfielder,Active,Los Angeles Dodgers
119,690976,Alex Freeland,42,2B,Infielder,Active,Los Angeles Dodgers
119,681911,Alex Vesia,42,P,Pitcher,Active,Los Angeles Dodgers
119,681624,Andy Pages,42,CF,Outfielder,Active,Los Angeles Dodgers
119,595014,Blake Treinen,42,P,Pitcher,Active,Los Angeles Dodgers
119,687221,Dalton Rushing,42,C,Catcher,Active,Los Angeles Dodgers
