TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,FILE_CODE,FRANCHISE_NAME,CLUB_NAME,SHORT_NAME,LOCATION_NAME,ACTIVE,FIRST_YEAR_OF_PLAY,LEAGUE_ID,LEAGUE_NAME,DIVISION_ID,DIVISION_NAME,VENUE_ID,VENUE_NAME,SPRING_VENUE_ID,SPRING_VENUE_NAME
145,Chicago White Sox,CWS,cha,cws,Chicago,White Sox,Chi White Sox,Chicago,True,1901,103,American League,202,American League Central,4,Rate Field,3809,
114,Cleveland Guardians,CLE,cle,cle,Cleveland,Guardians,Cleveland,Cleveland,True,1901,103,American League,202,American League Central,5,Progressive Field,3834,
116,Detroit Tigers,DET,det,det,Detroit,Tigers,Detroit,Detroit,True,1901,103,American League,202,American League Central,2394,Comerica Park,2511,
118,Kansas City Royals,KC,kca,kc,Kansas City,Royals,Kansas City,Kansas City,True,1968,103,American League,202,American League Central,7,Kauffman Stadium,2603,
142,Minnesota Twins,MIN,min,min,Minnesota,Twins,Minnesota,Minneapolis,True,1901,103,American League,202,American League Central,3312,Target Field,2862,
110,Baltimore Orioles,BAL,bal,bal,Baltimore,Orioles,Baltimore,Baltimore,True,1901,103,American League,201,American League East,2,Oriole Park at Camden Yards,2508,
111,Boston Red Sox,BOS,bos,bos,Boston,Red Sox,Boston,Boston,True,1901,103,American League,201,American League East,3,Fenway Park,4309,
147,New York Yankees,NYY,nya,nyy,New York,Yankees,NY Yankees,Bronx,True,1903,103,American League,201,American League East,3313,Yankee Stadium,2523,
139,Tampa Bay Rays,TB,tba,tb,Tampa Bay,Rays,Tampa Bay,St. Petersburg,True,1996,103,American League,201,American League East,12,Tropicana Field,2534,
141,Toronto Blue Jays,TOR,tor,tor,Toronto,Blue Jays,Toronto,Toronto,True,1977,103,American League,201,American League East,14,Rogers Centre,2536,
133,Athletics,ATH,ath,ath,Athletics,Athletics,Athletics,Sacramento,True,1901,103,American League,200,American League West,2529,Sutter Health Park,2507,
117,Houston Astros,HOU,hou,hou,Houston,Astros,Houston,Houston,True,1962,103,American League,200,American League West,2392,Daikin Park,5000,
108,Los Angeles Angels,LAA,ana,ana,Los Angeles,Angels,LA Angels,Anaheim,True,1961,103,American League,200,American League West,1,Angel Stadium,2500,
136,Seattle Mariners,SEA,sea,sea,Seattle,Mariners,Seattle,Seattle,True,1977,103,American League,200,American League West,680,T-Mobile Park,2530,
140,Texas Rangers,TEX,tex,tex,Texas,Rangers,Texas,Arlington,True,1961,103,American League,200,American League West,5325,Globe Life Field,2603,
112,Chicago Cubs,CHC,chn,chc,Chicago,Cubs,Chi Cubs,Chicago,True,1874,104,National League,205,National League Central,17,Wrigley Field,4629,
113,Cincinnati Reds,CIN,cin,cin,Cincinnati,Reds,Cincinnati,Cincinnati,True,1882,104,National League,205,National League Central,2602,Great American Ball Park,3834,
158,Milwaukee Brewers,MIL,mil,mil,Milwaukee,Brewers,Milwaukee,Milwaukee,True,1968,104,National League,205,National League Central,32,American Family Field,2518,
134,Pittsburgh Pirates,PIT,pit,pit,Pittsburgh,Pirates,Pittsburgh,Pittsburgh,True,1882,104,National League,205,National League Central,31,PNC Park,2526,
138,St. Louis Cardinals,STL,sln,stl,St. Louis,Cardinals,St. Louis,St. Louis,True,1892,104,National League,205,National League Central,2889,Busch Stadium,2520,
144,Atlanta Braves,ATL,atl,atl,Atlanta,Braves,Atlanta,Atlanta,True,1871,104,National League,204,National League East,4705,Truist Park,5380,
146,Miami Marlins,MIA,mia,mia,Miami,Marlins,Miami,Miami,True,1991,104,National League,204,National League East,4169,loanDepot park,2520,
121,New York Mets,NYM,nyn,nym,New York,Mets,NY Mets,Flushing,True,1962,104,National League,204,National League East,3289,Citi Field,2856,
143,Philadelphia Phillies,PHI,phi,phi,Philadelphia,Phillies,Philadelphia,Philadelphia,True,1883,104,National League,204,National League East,2681,Citizens Bank Park,2700,
120,Washington Nationals,WSH,was,was,Washington,Nationals,Washington,Washington,True,1968,104,National League,204,National League East,3309,Nationals Park,5000,
109,Arizona Diamondbacks,AZ,ari,ari,Arizona,Diamondbacks,Arizona,Phoenix,True,1996,104,National League,203,National League West,15,Chase Field,4249,
115,Colorado Rockies,COL,col,col,Colorado,Rockies,Colorado,Denver,True,1992,104,National League,203,National League West,19,Coors Field,4249,
119,Los Angeles Dodgers,LAD,lan,la,Los Angeles,Dodgers,LA Dodgers,Los Angeles,True,1884,104,National League,203,National League West,22,UNIQLO Field at Dodger Stadium,3809,
135,San Diego Padres,SD,sdn,sd,San Diego,Padres,San Diego,San Diego,True,1968,104,National League,203,National League West,2680,Petco Park,2530,
137,San Francisco Giants,SF,sfn,sf,San Francisco,Giants,San Francisco,San Francisco,True,1883,104,National League,203,National League West,2395,Oracle Park,2532,
