GAME_DATE_EST,GAME_TIME_EST,GAME_ID,MATCHUP,HOME_TEAM,AWAY_TEAM,HOME_PTS,AWAY_PTS,STATUS,WL
2025-10-02,12:00 PM,0012500008,76ers @ Knicks,Knicks,76ers,99,84,FINAL,F
2025-10-03,10:00 PM,0012500001,Suns @ Lakers,Lakers,Suns,81,103,FINAL,F
2025-10-03,5:30 AM,0012500009,United @ Pelicans,Pelicans,United,107,97,FINAL,F
2025-10-04,11:00 AM,0012500010,Knicks @ 76ers,76ers,Knicks,104,113,FINAL,F
2025-10-04,11:00 PM,0012500011,Phoenix @ Pelicans,Pelicans,Phoenix,127,92,FINAL,F
2025-10-04,8:00 PM,0012500026,Jerusalem B.C. @ Nets,Nets,Jerusalem B.C.,123,88,FINAL,F
2025-10-04,8:00 PM,0012500027,Magic @ Heat,Heat,Magic,118,126,FINAL,F
2025-10-04,9:00 PM,0012500028,Timberwolves @ Nuggets,Nuggets,Timberwolves,116,126,FINAL,F
2025-10-05,5:00 PM,0012500029,Thunder @ Hornets,Hornets,Thunder,114,135,FINAL,F
2025-10-05,8:30 PM,0012500030,Lakers @ Warriors,Warriors,Lakers,111,103,FINAL,F
2025-10-06,7:30 PM,0012500002,Bucks @ Heat,Heat,Bucks,93,103,FINAL,F
2025-10-06,8:00 PM,0012500014,Hawks @ Rockets,Rockets,Hawks,122,113,FINAL,F
2025-10-06,8:00 PM,0012500031,Pistons @ Grizzlies,Grizzlies,Pistons,112,128,FINAL,F
2025-10-06,8:00 PM,0012500032,Loong-Lions @ Spurs,Spurs,Loong-Lions,119,88,FINAL,F
2025-10-06,8:30 PM,0012500033,Thunder @ Mavericks,Mavericks,Thunder,106,89,FINAL,F
2025-10-06,10:00 PM,0012500034,Nuggets @ Raptors,Raptors,Nuggets,108,112,FINAL,F
2025-10-07,7:00 PM,0012500035,Bulls @ Cavaliers,Cavaliers,Bulls,117,118,FINAL,F
2025-10-07,8:00 PM,0012500036,Pacers @ Timberwolves,Timberwolves,Pacers,134,135,FINAL,F
2025-10-08,7:30 PM,0012500003,Spurs @ Heat,Heat,Spurs,107,112,FINAL,F
2025-10-08,10:00 PM,0012500015,Trail Blazers @ Warriors,Warriors,Trail Blazers,129,123,FINAL,F
2025-10-08,10:00 PM,0012500016,Raptors @ Kings,Kings,Raptors,122,130,FINAL,F
2025-10-08,8:00 PM,0012500037,Jazz @ Rockets,Rockets,Jazz,140,127,FINAL,F
2025-10-08,8:00 PM,0012500038,Celtics @ Grizzlies,Grizzlies,Celtics,103,121,FINAL,F
2025-10-09,7:30 PM,0012500039,Timberwolves @ Knicks,Knicks,Timberwolves,100,95,FINAL,F
2025-10-09,8:00 PM,0012500040,Cavaliers @ Bulls,Bulls,Cavaliers,119,112,FINAL,F
2025-10-09,8:00 PM,0012500041,Pistons @ Bucks,Bucks,Pistons,117,111,FINAL,F
2025-10-09,8:00 PM,0012500042,Hornets @ Thunder,Thunder,Hornets,122,116,FINAL,F
2025-10-09,10:30 PM,0012500043,Loong-Lions @ Clippers,Clippers,Loong-Lions,142,95,FINAL,F
2025-10-10,8:00 AM,0012500012,Suns @ Nets,Nets,Suns,127,132,FINAL,F
2025-10-10,10:00 PM,0012500017,Kings @ Trail Blazers,Trail Blazers,Kings,124,123,FINAL,F
2025-10-10,7:00 PM,0012500044,Celtics @ Raptors,Raptors,Celtics,107,105,FINAL,F
2025-10-10,8:00 PM,0012500045,Jazz @ Spurs,Spurs,Jazz,134,130,FINAL,F
