GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,FG3M,GAME_ID,PLAYER_ID,PLAYER_NAME,OPP_TEAM_ABBR,IS_HOME,IS_AWAY,SEASON,SEASON_TYPE
2026-04-12,ATL @ MIA,L,39,17,11,2,0,1,1,,1642854,Asa Newell,MIA,False,True,2025-26,Regular Season
2026-04-12,ATL @ MIA,L,21,31,3,3,1,0,7,,1627741,Buddy Hield,MIA,False,True,2025-26,Regular Season
2026-04-12,ATL @ MIA,L,21,4,8,1,0,1,0,,1631132,Christian Koloko,MIA,False,True,2025-26,Regular Season
2026-04-12,ATL @ MIA,L,29,21,3,2,0,0,5,,1630557,Corey Kispert,MIA,False,True,2025-26,Regular Season
2026-04-12,ATL @ MIA,L,32,8,4,6,0,0,1,,1630811,Keaton Wallace,MIA,False,True,2025-26,Regular Season
2026-04-12,ATL @ MIA,L,26,11,0,9,1,0,0,,1642933,Keshon Gilbert,MIA,False,True,2025-26,Regular Season
2026-04-12,ATL @ MIA,L,27,10,3,3,0,0,2,,1642484,RayJ Dennis,MIA,False,True,2025-26,Regular Season
2026-04-12,ATL @ MIA,L,22,4,5,2,0,0,0,,1628396,Tony Bradley,MIA,False,True,2025-26,Regular Season
2026-04-12,ATL @ MIA,L,24,11,9,3,1,0,1,,1642258,Zaccharie Risacher,MIA,False,True,2025-26,Regular Season
2026-04-12,BOS vs. ORL,W,9,2,1,1,0,0,0,,1642873,Amari Williams,. ORL,True,False,2025-26,Regular Season
2026-04-12,BOS vs. ORL,W,39,30,7,7,2,1,6,,1631248,Baylor Scheierman,. ORL,True,False,2025-26,Regular Season
2026-04-12,BOS vs. ORL,W,37,2,4,7,1,4,0,,1630625,Dalano Banton,. ORL,True,False,2025-26,Regular Season
2026-04-12,BOS vs. ORL,W,30,13,4,1,1,0,3,,1642910,John Tonje,. ORL,True,False,2025-26,Regular Season
2026-04-12,BOS vs. ORL,W,33,9,8,3,1,1,1,,1641775,Jordan Walsh,. ORL,True,False,2025-26,Regular Season
2026-04-12,BOS vs. ORL,W,38,27,12,1,1,0,3,,1630568,Luka Garza,. ORL,True,False,2025-26,Regular Season
2026-04-12,BOS vs. ORL,W,18,3,3,0,1,0,1,,1642917,Max Shulga,. ORL,True,False,2025-26,Regular Season
2026-04-12,BOS vs. ORL,W,37,27,7,4,3,0,5,,1631199,Ron Harper Jr.,. ORL,True,False,2025-26,Regular Season
2026-04-12,BKN @ TOR,L,26,15,3,4,2,0,0,,1642879,Ben Saraf,TOR,False,True,2025-26,Regular Season
2026-04-12,BKN @ TOR,L,36,16,13,2,1,0,0,,1643052,Chaney Johnson,TOR,False,True,2025-26,Regular Season
2026-04-12,BKN @ TOR,L,25,8,1,0,1,0,0,,1642962,Drake Powell,TOR,False,True,2025-26,Regular Season
2026-04-12,BKN @ TOR,L,27,17,4,1,1,0,3,,1630604,E.J. Liddell,TOR,False,True,2025-26,Regular Season
