TeamID,TeamName,Conference,ConferenceRecord,Division,DivisionRecord,WINS,LOSSES,WinPCT
1610612760,Thunder,West,28-6,Northwest,7-2,37,8,0.822
1610612765,Pistons,East,22-6,Central,8-3,32,10,0.762
1610612738,Celtics,East,20-10,Atlantic,6-4,27,16,0.628
1610612759,Spurs,West,18-12,Southwest,7-2,31,14,0.689
1610612752,Knicks,East,19-11,Atlantic,6-3,26,18,0.591
1610612743,Nuggets,West,18-8,Northwest,4-1,30,15,0.667
1610612761,Raptors,East,22-12,Atlantic,4-8,27,19,0.587
1610612745,Rockets,West,15-14,Southwest,4-4,26,16,0.619
1610612747,Lakers,West,19-11,Pacific,4-5,26,16,0.619
1610612755,76ers,East,18-15,Atlantic,8-4,24,19,0.558
1610612739,Cavaliers,East,17-13,Central,7-3,25,20,0.556
1610612756,Suns,West,20-13,Pacific,8-4,27,17,0.614
1610612750,Timberwolves,West,14-13,Northwest,4-5,27,18,0.6
1610612753,Magic,East,15-15,Southeast,5-5,23,20,0.535
1610612748,Heat,East,12-12,Southeast,3-3,23,21,0.523
1610612744,Warriors,West,15-13,Pacific,5-3,25,21,0.543
1610612757,Trail Blazers,West,18-14,Northwest,4-4,22,22,0.5
1610612741,Bulls,East,14-15,Central,3-7,22,22,0.5
1610612737,Hawks,East,10-17,Southeast,4-3,21,25,0.457
1610612746,Clippers,West,10-14,Pacific,4-4,19,24,0.442
1610612763,Grizzlies,West,14-13,Southwest,5-3,18,24,0.429
1610612749,Bucks,East,14-14,Central,5-4,18,25,0.419
1610612742,Mavericks,West,11-18,Southwest,3-6,19,26,0.422
1610612766,Hornets,East,12-19,Southeast,5-4,17,28,0.378
1610612762,Jazz,West,9-22,Northwest,1-8,15,30,0.333
1610612751,Nets,East,9-18,Atlantic,3-8,12,30,0.286
1610612758,Kings,West,8-25,Pacific,2-7,12,33,0.267
1610612764,Wizards,East,7-18,Southeast,2-4,10,33,0.233
1610612740,Pelicans,West,4-25,Southwest,3-7,10,36,0.217
1610612754,Pacers,East,7-23,Central,2-8,10,35,0.222
