TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,STAT,VALUE,SEASON,PLAYER_IMAGE_URL
TOR,1627742,Brandon Ingram,PTS,21.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627742.png
TOR,1630193,Immanuel Quickley,AST,5.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630193.png
TOR,1630567,Scottie Barnes,REB,7.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png
MIL,203507,Giannis Antetokounmpo,PTS,27.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
MIL,1629645,Kevin Porter Jr.,AST,7.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629645.png
MIL,203507,Giannis Antetokounmpo,REB,9.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
DAL,1642843,Cooper Flagg,PTS,21.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642843.png
DAL,1642948,Ryan Nembhard,AST,5.3,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642948.png
DAL,1629023,P.J. Washington,REB,7.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629023.png
DEN,203999,Nikola Jokic,PTS,27.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
DEN,203999,Nikola Jokic,AST,10.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
DEN,203999,Nikola Jokic,REB,12.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
HOU,201142,Kevin Durant,PTS,26.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png
HOU,1630578,Alperen Sengun,AST,6.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png
HOU,1630578,Alperen Sengun,REB,8.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png
IND,1627783,Pascal Siakam,PTS,24.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png
IND,1629614,Andrew Nembhard,AST,7.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629614.png
IND,1627826,Ivica Zubac,REB,10.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627826.png
OKC,1628983,Shai Gilgeous-Alexander,PTS,31.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
OKC,1628983,Shai Gilgeous-Alexander,AST,6.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
OKC,1628392,Isaiah Hartenstein,REB,9.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628392.png
UTA,1628374,Lauri Markkanen,PTS,26.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628374.png
UTA,1642268,Isaiah Collier,AST,7.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642268.png
UTA,1631117,Walker Kessler,REB,10.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1631117.png
MEM,1629660,Ty Jerome,PTS,19.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629660.png
MEM,1629630,Ja Morant,AST,8.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png
MEM,1641744,Zach Edey,REB,11.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1641744.png
PHI,1630178,Tyrese Maxey,PTS,28.3,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
PHI,1630178,Tyrese Maxey,AST,6.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
PHI,203083,Andre Drummond,REB,8.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png
LAL,1629029,Luka Doncic,PTS,33.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
