TeamID,TeamName,Conference,ConferenceRecord,Division,DivisionRecord,WINS,LOSSES,WinPCT
1610612760,Thunder,West,25-6,Northwest,7-2,31,7,0.816
1610612765,Pistons,East,20-6,Central,7-3,28,9,0.757
1610612752,Knicks,East,18-11,Atlantic,5-3,24,13,0.649
1610612759,Spurs,West,15-9,Southwest,7-1,26,11,0.703
1610612743,Nuggets,West,16-7,Northwest,4-1,25,12,0.676
1610612738,Celtics,East,16-8,Atlantic,5-4,23,13,0.639
1610612747,Lakers,West,18-9,Pacific,4-4,23,12,0.657
1610612761,Raptors,East,20-10,Atlantic,3-6,23,15,0.605
1610612750,Timberwolves,West,13-10,Northwest,4-4,24,13,0.649
1610612755,76ers,East,15-12,Atlantic,7-3,20,15,0.571
1610612753,Magic,East,15-13,Southeast,5-4,21,17,0.553
1610612745,Rockets,West,12-11,Southwest,2-4,22,12,0.647
1610612739,Cavaliers,East,14-13,Central,7-3,21,17,0.553
1610612756,Suns,West,20-13,Pacific,8-4,22,15,0.595
1610612748,Heat,East,12-10,Southeast,3-3,20,17,0.541
1610612744,Warriors,West,13-12,Pacific,4-3,20,18,0.526
1610612737,Hawks,East,10-15,Southeast,4-3,18,21,0.462
1610612757,Trail Blazers,West,15-13,Northwest,4-4,18,20,0.474
1610612763,Grizzlies,West,14-12,Southwest,5-3,16,21,0.432
1610612741,Bulls,East,13-14,Central,3-7,17,20,0.459
1610612742,Mavericks,West,8-16,Southwest,3-6,14,23,0.378
1610612749,Bucks,East,13-14,Central,5-4,16,21,0.432
1610612766,Hornets,East,11-17,Southeast,4-4,13,24,0.351
1610612746,Clippers,West,10-14,Pacific,4-4,13,23,0.361
1610612762,Jazz,West,7-18,Northwest,0-8,12,24,0.333
1610612751,Nets,East,8-16,Atlantic,3-7,11,23,0.324
1610612758,Kings,West,6-23,Pacific,1-6,8,29,0.216
1610612764,Wizards,East,7-18,Southeast,2-4,10,26,0.278
1610612740,Pelicans,West,4-23,Southwest,3-6,8,31,0.205
1610612754,Pacers,East,4-19,Central,2-7,6,31,0.162
