TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,STAT,VALUE,SEASON,PLAYER_IMAGE_URL
TOR,1627742,Brandon Ingram,PTS,21.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627742.png
TOR,1630193,Immanuel Quickley,AST,6.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630193.png
TOR,1630567,Scottie Barnes,REB,8.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png
MIL,203507,Giannis Antetokounmpo,PTS,29.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
MIL,1629645,Kevin Porter Jr.,AST,7.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629645.png
MIL,203507,Giannis Antetokounmpo,REB,10.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
WAS,203468,CJ McCollum,PTS,18.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
WAS,1642273,Kyshawn George,AST,5.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642273.png
WAS,1642259,Alex Sarr,REB,7.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642259.png
DEN,203999,Nikola Jokic,PTS,29.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
DEN,203999,Nikola Jokic,AST,11.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
DEN,203999,Nikola Jokic,REB,12.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
HOU,201142,Kevin Durant,PTS,26.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png
HOU,1630578,Alperen Sengun,AST,6.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png
HOU,1630578,Alperen Sengun,REB,9.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png
IND,1627783,Pascal Siakam,PTS,23.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png
IND,1629614,Andrew Nembhard,AST,7.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629614.png
IND,1630167,Obi Toppin,REB,6.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630167.png
OKC,1628983,Shai Gilgeous-Alexander,PTS,31.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
OKC,1628983,Shai Gilgeous-Alexander,AST,6.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
OKC,1628392,Isaiah Hartenstein,REB,10.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628392.png
